Comment,Designator,Footprint,LCSC
MU-AS90R,S1,MUAS90R,
R_US,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
ASMB-MTB0-0A3A2,D1,LED_Avago_PLCC4_3.2x2.8mm_CW,
PCF8575DBR,U2,SSOP-24_5.3x8.2mm_P0.65mm,
SM04B-SRSS-TB_LF__SN_,J8,JST_SM04B-SRSS-TB_LF__SN_,
SM04B-SRSS-TB_LF__SN_,J1,JST_SM04B-SRSS-TB_LF__SN_,
Conn_01x04_Pin,J7,PinSocket_1x04_P2.54mm_Vertical,
R_US,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Conn_01x04_Pin,J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
R_US,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R_US,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
SM04B-SRSS-TB_LF__SN_,J4,JST_SM04B-SRSS-TB_LF__SN_,
SM04B-SRSS-TB_LF__SN_,J3,JST_SM04B-SRSS-TB_LF__SN_,
TS02-66-95-BK-260-LCR-D,B2,SW_TS02-66-95-BK-260-LCR-D,
TS02-66-95-BK-260-LCR-D,B1,SW_TS02-66-95-BK-260-LCR-D,
TS02-66-95-BK-260-LCR-D,B3,SW_TS02-66-95-BK-260-LCR-D,
SM04B-SRSS-TB_LF__SN_,J5,JST_SM04B-SRSS-TB_LF__SN_,
ESP32-C3_SUPERMINI_SMD,U3,MODULE_ESP32-C3_SUPERMINI,
SM04B-SRSS-TB_LF__SN_,J6,JST_SM04B-SRSS-TB_LF__SN_,
